Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Early years foundation stage: assessment and reporting 2014,https://www.gov.uk/government/publications/early-years-foundation-stage-assessment-and-reporting-2014,,08/09/2014,Publication,Statutory guidance,schools-colleges-childrens-services/early-years,,"department-for-education, standards-and-testing-agency",,"Statutory guidance: schools, Early years foundation stage, Children’s social care and childcare guidance, Statutory guidance: schools, Statutory guidance: schools, Early years and childcare guidance, Early years and childcare guidance, Statutory guidance: schools, Statutory guidance: schools, Statutory guidance: schools, Statutory guidance: schools, Early years and childcare guidance, Statutory guidance: schools, Early years and childcare guidance, Statutory guidance: schools, Early years and childcare: guidance and advice, Statutory guidance: schools, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for early years providers, Early years and childcare: guidance and advice, Early learning and childcare: guidance for providers, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Schools: statutory guidance, Early learning and childcare: guidance for providers, Schools: statutory guidance",withdrawn,,780,"1,360","1,092","1,281","1,167",995,846,481,218,414,466,385,"9,485","1,360",218,790,813,out of date - redirect to current version,https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara,"STA will need to agree with this recommendation, but I suggest redirecting to the latest version of the document to avoid the risk of people using outdated guidace. (ADC)",,200,
Early years foundation stage profile return 2015: guide,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-return-2015-guide,,27/05/2015,Publication,Guidance,,,department-for-education,,,,,,,,,,"1,342",995,285,158,283,215,89,"3,367","1,342",89,281,283,current - no work needed,,We need to keep general guides for data collections live for 3 years.,N/A,200,
Opportunities to shine as a childminder,https://www.gov.uk/government/publications/opportunities-to-shine-as-a-childminder,,13/07/2013,Publication,Research and analysis,edition,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,71,46,45,36,137,"1,341",453,228,252,187,133,"2,929","1,341",36,244,137,current but needs work - improve now,,"EdC. Title could be more descriptive - eg ""Childminding: using arts and crafts""",,200,
Schools block funding formulae 2015 to 2016,https://www.gov.uk/government/publications/schools-block-funding-formulae-2015-to-2016,,19/03/2015,Publication,Guidance,,,education-funding-agency,school-and-college-funding-and-accountability,,,,1,,,"1,327",245,195,201,150,75,162,295,232,"2,883","1,327",1,240,198,current - no work needed,,,,200,
Nicky Morgan speaks at Early Intervention Foundation conference,https://www.gov.uk/government/speeches/nicky-morgan-speaks-at-early-intervention-foundation-conference,,12/02/2015,Speech,Speech,,,department-for-education,,,,,,,"1,295",310,108,117,63,66,50,39,49,52,"2,149","1,295",39,179,64,current - no work needed,,,N/A,200,
Registered childcare providers and places in England - December 2008 onwards,https://www.gov.uk/government/statistics/registered-childcare-providers-and-places-in-england-december-2008-onwards,,13/11/2014,Publication,Official Statistics,,,ofsted,,/government/collections/early-years-and-childcare-statistics,,,440,"1,267",956,"1,025",884,"1,241","1,083","1,030",801,"1,139","1,020",813,"11,699","1,267",440,975,"1,022",current - no work needed,,,,200,
Michael Gove speaks about the importance of teaching,https://www.gov.uk/government/speeches/michael-gove-speaks-about-the-importance-of-teaching,,13/09/2013,Speech,Speech,,,department-for-education,teaching-and-school-leadership,,,,764,949,901,"1,024",991,"1,249",713,723,650,869,"1,090",923,"10,846","1,249",650,904,912,current - no work needed,,,N/A,200,
Inspecting children's centres: framework,https://www.gov.uk/government/publications/the-framework-for-childrens-centre-inspection-from-april-2013,,05/03/2015,Publication,Guidance,,,ofsted,,"/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations, /government/collections/ofsted-inspections-of-childrens-centres",,,219,541,571,"1,228",757,667,800,692,488,821,623,419,"7,826","1,228",219,652,645,current but needs work - improve next version,,Will need to make changes when policy situation clarified by DfE.,,200,
Edward Timpson: supporting SEND students in further education,https://www.gov.uk/government/speeches/edward-timpson-supporting-send-students-in-further-education,,04/12/2014,Speech,Speech,,,department-for-education,special-educational-needs-and-disability-send,,,,"1,210",203,52,41,25,29,19,21,13,31,32,30,"1,706","1,210",13,142,30,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Improving boys’ literacy skills,https://www.gov.uk/government/publications/improving-boys-literacy-skills,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-early-years, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"1,195",475,647,558,263,"3,138","1,195",263,262,558,current - no work needed,,,,200,
Nick Gibb speech on government’s maths reforms,https://www.gov.uk/government/speeches/nick-gibb-speech-on-governments-maths-reforms,,27/03/2015,Speech,Speech,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,,,,"1,166",789,382,283,159,109,187,248,204,"3,527","1,166",109,294,248,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Complain about an Ofsted inspection report,https://www.gov.uk/complain-ofsted-report,,03/12/2014,Answer,,,education/school-life,ofsted,,,,,362,982,887,"1,162",695,821,"1,057",880,493,637,679,834,"9,489","1,162",362,791,828,current - no work needed,,,,200,
School Direct (Early Years) initial teacher training: lead organisations,https://www.gov.uk/government/publications/school-direct-early-years-initial-teacher-training-lead-organisations,,26/03/2015,Publication,Guidance,,,national-college-for-teaching-and-leadership,,,,,,,,484,928,700,878,"1,162",748,949,"1,056",211,"7,116","1,162",211,593,878,duplicate - combine and redirect this item to another item that also belongs to your organisation,,This has already been redirected to https://www.gov.uk/government/publications/early-years-initial-teacher-training-itt-providers-and-school-direct-early-years-lead-organisations,,302,https://www.gov.uk/government/publications/early-years-initial-teacher-training-itt-providers-and-school-direct-early-years-lead-organisations
More great childcare: raising quality and giving parents more choice,https://www.gov.uk/government/publications/more-great-childcare-raising-quality-and-giving-parents-more-choice,,29/01/2013,Publication,Policy paper,,,department-for-education,childcare-and-early-education,/government/collections/reform-of-education-and-childcare-from-birth-to-5-years,,,382,753,"1,133",584,406,471,191,151,114,219,267,289,"4,960","1,133",114,413,336,current - no work needed,,,N/A,200,
2016 Early years foundation stage: assessment and reporting arrangements (ARA): Section 5: Legal requirements and responsibilities,https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara/section-5-legal-requirements-and-responsibilities,,,Manual section,,,,standards-and-testing-agency,,,,,,,,,,,,,,306,"1,125",486,"1,917","1,125",306,160,486,,,,,200,
Two in every five London children are not school ready by age 5,https://www.gov.uk/government/news/two-in-every-five-london-children-are-not-school-ready-by-age-5,,10/08/2015,News article,Press release,,,public-health-england,,,,,,,,,,,,,"1,110",133,54,49,"1,346","1,110",49,112,94,,,,,200,
The early years foundation stage (Tickell review): report on the evidence,https://www.gov.uk/government/publications/the-early-years-foundation-stage-review-report-on-the-evidence,,30/03/2011,Publication,Independent report,,,department-for-education,childcare-and-early-education,"/government/collections/reform-of-education-and-childcare-from-birth-to-5-years, /government/collections/tickell-review-reports",,,879,"1,071",758,"1,106","1,091",999,562,347,194,376,795,944,"9,122","1,106",194,760,837,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/the-early-years-foundations-for-life-health-and-learning-an-independent-report-on-the-early-years-foundation-stage-to-her-majestys-government,"It would make sense to have both reports from the Tickell review on the same page, as people interested in one are likely to be interested in the other. I suggest adding the report on the evidence to the page where the main report lives.",yes,302,https://www.gov.uk/government/publications/the-early-years-foundations-for-life-health-and-learning-an-independent-report-on-the-early-years-foundation-stage-to-her-majestys-government
Schemes for financing schools,https://www.gov.uk/government/publications/schemes-for-financing-schools,,19/08/2015,Publication,Statutory guidance,schools-colleges-childrens-services/school-college-funding-finance,,"department-for-education, education-funding-agency",,/government/collections/statutory-guidance-schools,,,285,493,396,460,370,367,483,343,962,"1,071",586,760,"6,576","1,071",285,548,472,current - no work needed,,,N/A,200,
Nicky Morgan: improving child literacy in England,https://www.gov.uk/government/speeches/nicky-morgan-improving-child-literacy-in-england,,24/09/2015,Speech,Speech,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,,,,,,,,,,"1,059",551,228,"1,838","1,059",228,153,551,current - no work needed,,,N/A,200,
Sure Start children's centres,https://www.gov.uk/government/publications/sure-start-childrens-centres,,15/04/2013,Publication,Statutory guidance,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,784,"1,005",945,"1,016","1,054",980,724,655,544,636,815,890,"10,048","1,054",544,837,852,current but needs work - improve now,,"The detail text has a few passive constructions (which go against GOV.UK style), so we need to make some changes there. I also think we should remove the link to the 'capital grants' document. I've suggested taking it down because it is very old and out of date.",Yes,200,
A focused inspection of Wiltshire's early years providers,https://www.gov.uk/government/news/a-focused-inspection-of-wiltshires-early-years-providers,,12/06/2015,News article,Press release,,,ofsted,,,,,,,,,,,"1,046",214,27,23,20,19,"1,349","1,046",19,112,25,current - no work needed,,,,200,
Sam Gyimah: letter to early education and childcare providers,https://www.gov.uk/government/publications/sam-gyimah-letter-to-early-education-and-childcare-providers,,24/03/2015,Publication,Correspondence,,,department-for-education,,,,,,,,"1,040",287,61,10,13,10,10,5,3,"1,439","1,040",3,120,10,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/policies/childcare-and-early-education,"Early years setting don't need this old letter anymore. It's really a summary of what the government is doing to improve early education and childcare, so I suggest redirecting to the policy page on early years.",Yes,302,https://www.gov.uk/government/policies/childcare-and-early-education
